Violation Code,Violation Description,Maximum Penalty,,,,,,
18F,"Related to DOH documentation, permits, and noncompliance",200,,,,,,
18G,"Related to DOH documentation, permits, and noncompliance",200,,,,,,
18H,"Related to DOH documentation, permits, and noncompliance",500,,,,,,
20A,Mandatory signage not posted,100,,,,,,
20B,Mandatory signage not posted,100,,,,,,
20C,Mandatory signage not posted,100,,,,,,
20D,Mandatory signage not posted,200,,,,,,
20E,Mandatory signage not posted,500,,,,,,
20F,Mandatory signage not posted,1000,,,,,,
22A,Failure to take reasonable precautions to protect health and safety,1000,,,,,,
22B,Failure to take reasonable precautions to protect health and safety,200,,,,,,
22C,Failure to take reasonable precautions to protect health and safety,200,,,,,,
22E,Failure to take reasonable precautions to protect health and safety,200,,,,,,
